"FoodId","Food","Foodtype","Hunger","Calories","FoodImage","Ingredients","Filling"
75,Nasi Lemak,Indian Coffee Shop,1024,600,nasi-lemak-1.jpg,"rice, coconut milk, pandan leaf, chicken wing, egg, ikan bilis, chilli",filling
76,Noodles with Minced Pork & Mushroom (Dry),Chinese Hawker,598,511,noodmincedpork.jpg,"flour, water, minced pork, mushroom, chili sauce",filling
77,Oyster Omelette,Dim Sum Restaurant,276,650,oysterom.jpg,"rice flour, water, egg, oyster",filling
78,Pig Organ Soup,Chinese Restaurant,185,158,pigorgansoup.jpg,"water, salt, pig stomach, pig liver, mushroom, white peppercorn",not so filling
79,Pizza,Western Diner,445,299,pizza.jpg,"(Once slice) flour, water, salt, cheese, tomato sauce, pepperoni slices",somewhat filling
80,Popiah,Dim Sum Restaurant,38,92,popiah.png,"spring roll skin, bamboo shoots, onion, garlic, hard-boiled egg",not so filling
81,Pork Pau,Dim Sum Restaurant,105,246,Big-Pau_2.jpg,"flour, pork, egg, yam bean",not so filling
82,Pork Porridge,Chinese Restaurant,767,362,pork_porridge.jpg,"water, rice, minced pork, groun pepper, soy sauce",somewhat filling
83,Potato Chips,Convenience Store,310,184,Homemade-Potato-Chips-1-of-1.jpg,"Potato, salt, oil",not so filling
84,"Prawn Noodles, Dry",Chinese Hawker,546,459,prawnoodledry.jpg,"egg noodles, , fishcake, prawn, beansprout, chilli sauce",somewhat filling
85,"Prawn Noodles, Soup",Chinese Hawker,358,293,prawnoodlesoup.jpg,"egg noodles, , fishcake, prawn, beansprout",somewhat filling
86,Pulut Hitam with coconut milk,Chinese Hawker,90,290,bubur-hitam-3.jpg,"palm sugar, black glutinous rice, coconut cream, pandan leaves",somewhat filling
87,Quarter Pounder with Cheese,Fast Food,741,532,t-mcdonalds-Quarter-Pounder-with-Cheese.jpg,"bun, processed cheese, ketchup, pickles, onion, mustard, beef patty",filling
88,Roti John,Indian Coffee Shop,186,571,food88.png,"minced meat, onion, egg, tomato-chilli sauce, baguette-type loaf",filling
89,Roti Prata (plain),Indian Coffee Shop,39,122,food89.png,"flour, water, salt",not so filling
90,Roti Prata with egg,Indian Coffee Shop,120,289,food90.png,"flour, water, salt, egg",somewhat filling
91,Siew Mai,Dim Sum Restaurant,33,105,food91.png,"flour, pork , shrimp",not so filling
92,Soon Kueh,Dim Sum Restaurant,30,98,food92.png,"rice flour, tapioca starch, yam bean, carrot, mushrooms",not so filling
93,Spaghetti with Meat Sauce,Western Diner,348,240,food93.png,"ground beef, onion, garlic, green pepper, tomato",not so filling
94,Spicy Chicken McWrap,Fast Food,728,544,food94.png,"Whole grain tortilla, spicy fried chicken cutlet, lettuce, tomatoes",filling
95,Tau Suan with you tiao,Chinese Hawker,107,293,food95.jfif,"mung beans, pandan leaves, sugar",somewhat filling
96,Tom Yam Seafood Soup,Chinese Restaurant,297,271,food96.jfif,"lemongrass, shallots, tomato, fish sauce, mushrooms, squid, prawn",somewhat filling
97,"Wanton Noodles, Dry",Dim Sum Restaurant,563,409,food97.jfif,"egg noodles, choy sum, char siu pork, ground pork, chilli sauce",somewhat filling
98,"Wanton Noodles, Soup",Dim Sum Restaurant,270,217,food98.jfif,"egg noodles, choy sum, char siu pork, ground pork",not so filling
99,Watercress & Pork Ribs Soup,Chinese Restaurant,86,92,food99.jpg,"watercress, pork ribs, dried red dates",not so filling
100,Yam Cake,Dim Sum Restaurant,65,174,food100.jpeg,"rice flour, vegetable taro, dried prawns ",not so filling
101,Yong Tauhu Soup,Chinese Restaurant,41,49,food101.jpg,"Soft bun, lettuce, beef patty x2, cheese",not so filling
102,You Tiao,Chinese Restaurant,43,123,food102.png,"salt, butter, deep-fried dough",not so filling
